bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
11:00,-190,15,11:00,-190,-100,-10
08:40,-90,92,08:40,-160,-80,-20
11:30,-110,21,11:30,-190,-100,-10
08:40,-120,59,08:40,-160,-80,-20
14:30,-120,5,14:30,-186,-90,30
10:40,-130,25,10:40,-180,-100,-24
12:00,-140,18,12:00,-204,-100,10
14:20,-20,1,14:20,-179,-90,30
09:10,-30,39,09:10,-180,-90,-20
08:40,-40,72,08:40,-160,-80,-20
10:40,-110,42,10:40,-180,-100,-24
13:10,-110,8,13:10,-180,-90,-20
06:30,-20,17,06:30,-110,-50,-20
09:40,-110,46,09:40,-170,-90,-20
11:20,-30,12,11:20,-180,-100,0
09:40,-70,72,09:40,-170,-90,-20
08:20,-210,18,08:20,-165,-80,-20
08:30,-140,39,08:30,-160,-80,-20
06:20,-20,27,06:20,-90,-40,-20
07:30,-100,27,07:30,-140,-70,-20
10:00,-50,56,10:00,-170,-90,-10
11:20,-130,32,11:20,-180,-100,0
09:00,20,6,09:00,-161,-80,-20
09:00,-10,26,09:00,-161,-80,-20
08:50,-100,77,08:50,-160,-80,-20
09:20,-20,29,09:20,-180,-90,-20
08:20,-70,94,08:20,-165,-80,-20
12:30,120,1,12:30,-180,-90,20
09:30,-100,62,09:30,-180,-80,-20
09:50,-140,35,09:50,-180,-80,-20
11:40,-60,20,11:40,-190,-100,-10
08:20,-160,20,08:20,-165,-80,-20
08:30,-80,91,08:30,-160,-80,-20
07:50,-110,39,07:50,-150,-70,-20
08:40,-70,85,08:40,-160,-80,-20
08:00,-40,89,08:00,-160,-70,-20
09:20,-30,42,09:20,-180,-90,-20
13:30,-10,4,13:30,-176,-90,40
07:50,-70,84,07:50,-150,-70,-20
08:20,-40,100,08:20,-165,-80,-20
09:40,-40,48,09:40,-170,-90,-20
09:10,-90,66,09:10,-180,-90,-20
08:00,-160,21,08:00,-160,-70,-20
10:20,-90,38,10:20,-180,-90,-10
11:20,120,2,11:20,-180,-100,0
09:20,-40,58,09:20,-180,-90,-20
11:20,-60,22,11:20,-180,-100,0
10:00,-70,56,10:00,-170,-90,-10
08:20,-230,5,08:20,-165,-80,-20
11:10,-40,26,11:10,-190,-100,-10
08:40,-110,59,08:40,-160,-80,-20
11:40,-200,9,11:40,-190,-100,-10
08:30,-210,13,08:30,-160,-80,-20
11:00,-50,20,11:00,-190,-100,-10
09:10,-130,51,09:10,-180,-90,-20
09:50,-160,26,09:50,-180,-80,-20
09:10,-110,62,09:10,-180,-90,-20
11:10,-140,26,11:10,-190,-100,-10
08:20,-100,76,08:20,-165,-80,-20
11:50,-80,26,11:50,-180,-95,0
09:50,10,10,09:50,-180,-80,-20
07:40,-90,63,07:40,-140,-70,-20
09:50,-290,2,09:50,-180,-80,-20
07:50,-410,1,07:50,-150,-70,-20
08:10,-60,70,08:10,-150,-80,-20
07:30,-40,78,07:30,-140,-70,-20
07:50,-80,59,07:50,-150,-70,-20
10:30,-130,32,10:30,-181,-90,-10
12:20,-60,10,12:20,-200,-100,-10
08:40,70,3,08:40,-160,-80,-20
08:00,-100,48,08:00,-160,-70,-20
08:50,-130,53,08:50,-160,-80,-20
11:00,-80,38,11:00,-190,-100,-10
13:00,120,1,13:00,-178,-90,28
08:00,-60,92,08:00,-160,-70,-20
09:10,-140,51,09:10,-180,-90,-20
09:50,50,5,09:50,-180,-80,-20
08:10,-130,39,08:10,-150,-80,-20
10:30,-120,33,10:30,-181,-90,-10
14:10,-80,4,14:10,-217,-100,-1
12:20,-200,4,12:20,-200,-100,-10
09:50,-150,40,09:50,-180,-80,-20
06:50,-40,47,06:50,-120,-60,-20
08:40,-100,61,08:40,-160,-80,-20
10:00,-150,25,10:00,-170,-90,-10
12:10,-50,9,12:10,-190,-100,-10
