bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
07:40,-30.0,55,07:40,-140.0,-70.0,-20.0
09:30,-150.0,24,09:30,-180.0,-80.0,-20.0
12:20,-100.0,10,12:20,-201.0,-100.0,-10.0
09:00,-50.0,87,09:00,-161.0,-80.0,-20.0
09:40,-70.0,72,09:40,-170.0,-90.0,-20.0
10:40,-110.0,42,10:40,-180.0,-100.0,-24.0
07:10,0.0,4,07:10,-130.0,-60.0,-30.0
10:40,-100.0,38,10:40,-180.0,-100.0,-24.0
10:50,-170.0,17,10:50,-180.0,-90.0,-10.0
09:40,-60.0,43,09:40,-170.0,-90.0,-20.0
08:50,20.0,10,08:50,-160.0,-80.0,-20.0
08:30,-240.0,24,08:30,-160.0,-80.0,-20.0
09:10,-80.0,70,09:10,-180.0,-90.0,-20.0
09:00,-140.0,30,09:00,-161.0,-80.0,-20.0
10:50,-70.0,29,10:50,-180.0,-90.0,-10.0
08:00,-160.0,21,08:00,-160.0,-70.0,-20.0
12:50,-150.0,11,12:50,-200.0,-100.0,10.0
10:20,-40.0,32,10:20,-180.0,-90.0,-10.0
09:10,-10.0,28,09:10,-180.0,-90.0,-20.0
08:00,-60.0,92,08:00,-160.0,-70.0,-20.0
09:50,-30.0,38,09:50,-180.0,-80.0,-20.0
12:10,-130.0,11,12:10,-190.0,-100.0,-10.0
08:50,-50.0,63,08:50,-160.0,-80.0,-20.0
08:50,-60.0,69,08:50,-160.0,-80.0,-20.0
08:50,-100.0,77,08:50,-160.0,-80.0,-20.0
09:10,-90.0,66,09:10,-180.0,-90.0,-20.0
08:20,-60.0,91,08:20,-165.0,-80.0,-20.0
09:30,-80.0,75,09:30,-180.0,-80.0,-20.0
12:00,-40.0,12,12:00,-210.0,-100.0,4.0
09:20,-40.0,58,09:20,-180.0,-90.0,-20.0
09:20,-70.0,74,09:20,-180.0,-90.0,-20.0
10:00,-130.0,45,10:00,-170.0,-90.0,-10.0
12:10,-110.0,17,12:10,-190.0,-100.0,-10.0
10:40,-20.0,15,10:40,-180.0,-100.0,-24.0
09:10,-110.0,62,09:10,-180.0,-90.0,-20.0
09:50,-120.0,45,09:50,-180.0,-80.0,-20.0
06:10,-20.0,20,06:10,-90.0,-40.0,-20.0
09:40,-50.0,58,09:40,-170.0,-90.0,-20.0
07:30,-20.0,44,07:30,-140.0,-70.0,-20.0
07:50,-70.0,84,07:50,-150.0,-70.0,-20.0
10:40,-60.0,37,10:40,-180.0,-100.0,-24.0
07:50,-180.0,7,07:50,-150.0,-70.0,-20.0
09:30,-190.0,22,09:30,-180.0,-80.0,-20.0
11:50,-90.0,13,11:50,-180.0,-100.0,-3.0
11:30,-140.0,17,11:30,-190.0,-100.0,-10.0
13:10,70.0,1,13:10,-180.0,-90.0,-20.0
08:10,-190.0,13,08:10,-150.0,-80.0,-20.0
09:30,-100.0,62,09:30,-180.0,-80.0,-20.0
12:30,-60.0,13,12:30,-180.0,-90.0,20.0
09:00,0.0,31,09:00,-161.0,-80.0,-20.0
12:20,-120.0,18,12:20,-201.0,-100.0,-10.0
10:10,-240.0,31,10:10,-180.0,-90.0,-20.0
07:20,-60.0,76,07:20,-140.0,-60.0,-20.0
08:40,-110.0,59,08:40,-160.0,-80.0,-20.0
10:50,-50.0,36,10:50,-180.0,-90.0,-10.0
10:00,-150.0,25,10:00,-170.0,-90.0,-10.0
11:20,100.0,2,11:20,-180.0,-100.0,0.0
13:10,-100.0,5,13:10,-180.0,-90.0,-20.0
09:10,-130.0,51,09:10,-180.0,-90.0,-20.0
10:00,-80.0,59,10:00,-170.0,-90.0,-10.0
08:20,-40.0,100,08:20,-165.0,-80.0,-20.0
12:50,240.0,1,12:50,-200.0,-100.0,10.0
09:40,-40.0,48,09:40,-170.0,-90.0,-20.0
08:40,-80.0,80,08:40,-160.0,-80.0,-20.0
09:50,-170.0,23,09:50,-180.0,-80.0,-20.0
