bronx_pace_bkt,pace_diff_bkt,runners,bronx_pace_bkt_1,p10,p50,p90
07:50,-30.0,107,07:50,-80.0,-20.0,20.0
08:40,10.0,151,08:40,-80.0,-20.0,20.0
08:50,-110.0,25,08:50,-80.0,-20.0,20.0
09:30,-70.0,88,09:30,-84.0,-20.0,30.0
10:30,-60.0,71,10:30,-90.0,-20.0,40.0
09:20,-10.0,201,09:20,-80.0,-20.0,30.0
10:30,-100.0,30,10:30,-90.0,-20.0,40.0
09:30,-30.0,172,09:30,-84.0,-20.0,30.0
10:10,-40.0,129,10:10,-80.0,-20.0,30.0
11:20,-70.0,51,11:20,-90.0,-10.0,50.0
11:50,-10.0,56,11:50,-90.0,-10.0,60.0
10:10,-140.0,9,10:10,-80.0,-20.0,30.0
10:10,-50.0,116,10:10,-80.0,-20.0,30.0
09:30,-20.0,204,09:30,-84.0,-20.0,30.0
09:50,0.0,170,09:50,-80.0,-20.0,30.0
07:00,-60.0,16,07:00,-70.0,-20.0,20.0
07:50,-40.0,93,07:50,-80.0,-20.0,20.0
08:00,-30.0,117,08:00,-73.0,-10.0,20.0
07:10,20.0,36,07:10,-70.0,-10.0,20.0
06:30,-30.0,15,06:30,-50.0,-10.0,10.0
07:40,0.0,138,07:40,-70.0,-10.0,20.0
09:40,-30.0,165,09:40,-90.0,-20.0,30.0
09:30,-50.0,120,09:30,-84.0,-20.0,30.0
10:20,10.0,119,10:20,-85.0,-20.0,40.0
08:50,-30.0,171,08:50,-80.0,-20.0,20.0
08:50,-40.0,163,08:50,-80.0,-20.0,20.0
07:50,20.0,72,07:50,-80.0,-20.0,20.0
10:30,30.0,82,10:30,-90.0,-20.0,40.0
08:50,-20.0,217,08:50,-80.0,-20.0,20.0
10:50,-40.0,95,10:50,-84.0,-20.0,40.0
10:00,-100.0,26,10:00,-80.0,-20.0,40.0
10:30,-40.0,131,10:30,-90.0,-20.0,40.0
08:30,-60.0,59,08:30,-80.0,-20.0,20.0
09:00,-40.0,156,09:00,-90.0,-20.0,20.0
09:10,-40.0,154,09:10,-80.0,-20.0,30.0
11:50,-60.0,36,11:50,-90.0,-10.0,60.0
09:10,-50.0,143,09:10,-80.0,-20.0,30.0
09:20,10.0,151,09:20,-80.0,-20.0,30.0
09:00,-20.0,197,09:00,-90.0,-20.0,20.0
11:10,-60.0,55,11:10,-95.0,-10.0,50.0
11:50,-20.0,45,11:50,-90.0,-10.0,60.0
07:40,10.0,111,07:40,-70.0,-10.0,20.0
10:00,30.0,84,10:00,-80.0,-20.0,40.0
10:20,-70.0,58,10:20,-85.0,-20.0,40.0
10:00,-40.0,143,10:00,-80.0,-20.0,40.0
08:30,50.0,17,08:30,-80.0,-20.0,20.0
